,INVENTARISASI ASET SUNGAI ( Towari - Lasusua ) DI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NO,Nama Sungai,I. INFORMASI WILAYAH SUNGAI,,,II. KODIFIKASI,,,Kondisi,III. LOKASI,III. LOKASI,,IV. MANFAAT,,,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,,VI. KOORDINAT,
,,WS,DAS,Status,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,,Kabupaten,Kecamatan,Kelurahan,Irigasi (Ha),DMI (m3/dtk),PLTA,Ternak (ekor),Orde,Luas Das (Km2),Panjang Sungai (Km),Lebar Max (m),"Kelerengan rata""",Q max (m3 / detik),Keterangan,E,S
,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
33,Alo-alo,Lasolo - Konaweha,Alo-alo,Non Lintas,1,3,741000033,Baik,Konawe Utara,,,,0.48,,,1,14.6668,7.23,,,,,,
34,Lembo,Lasolo - Konaweha,Lembo,Lintas Provinsi,1,3,741000034,Baik,Konawe Utara,,,,1.84,,,1,107.0188,17.36,,,,,,
35,Kokapi,Lasolo - Konaweha,Kokapi,Lintas Provinsi,1,3,741000035,Baik,Konawe Utara,,,,1.28,,,1,74.2436,15.43,,,,,,
36,Motui,Lasolo - Konaweha,Motui,Non Lintas,1,3,740300001,Baik,Konawe,,,,3.43,,,1,174.3916,2.85,,,,,,
37,Labota,Lasolo - Konaweha,Motui,Non Lintas,1,3,740300002,Baik,Konawe,,,,3.43,,,2,174.3916,2.85,,,,,,
38,Wawone,Lasolo - Konaweha,Motui,Non Lintas,1,3,740300003,Baik,Konawe,,,,3.43,,,2,174.3916,2.9,,,,,,
39,Banggina,Lasolo - Konaweha,Motui,Non Lintas,1,3,740300004,Baik,Konawe,Motui,Banggina,,3.43,,,2,174.3916,6.25,,,,,,
40,Porara,Lasolo - Konaweha,Motui,Non Lintas,1,3,740300005,Baik,Konawe,,,,3.43,,,2,174.3916,4.8,,,,,,
41,Kambu-kambu,Lasolo - Konaweha,Motui,Non Lintas,1,3,740300006,Baik,Konawe,,,,3.43,,,2,174.3916,7.5,,,,,,
42,Konaweha,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300007,Baik,Konawe,Unaaha,Latoma,,64.81,,,1,6504.2353,347,,,,,,
43,Lalowalesu,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300008,Baik,Konawe,,,,64.81,,,2,6504.2353,8.75,,,,,,
44,Mendikonu,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300009,Baik,Konawe,Amonggedo,Mendikonu,,64.81,,,2,6504.2353,3.5,,,,,,
45,Polua,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300010,Baik,Konawe,Sampara,Polua,,64.81,,,2,6504.2353,4.2,,,,,,
46,Ulu Pohara,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300011,Baik,Konawe,Besulutu,Ulu Pohara,,64.81,,,2,6504.2353,3.8,,,,,,
47,Andaroa,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300012,Baik,Konawe,Abeli,Andaroa,,64.81,,,2,6504.2353,5.6,,,,,,
48,Alabu,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300013,Baik,Konawe,,,,64.81,,,2,6504.2353,2.5,,,,,,
