1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
80,P. 04KLK,Lasolo - Konaweha,DAS Konaweha,1,9,741000001,Kolaka Timur,Ladongi,Putemata,14,14,D.I. Putemata,,6.93,,,,,,,,,,,,,-,,1997/1998,,,,,,,,,,,,,,,,,,
81,P. 20 BTN   ,Poleang - Roraya,DAS Lantawanua,1,9,740600025,Bombana,Rumbia,Lomba Kasih,11,11,D.I. Lombakasih,,13.6,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,4°37'8.13,"122°03.33"""
82,P. 04MNA,Muna,DAS Katangana,1,9,740500005,Muna Barat,Toworo Selatan,Parura Jaya,16,16,D.I. Maginti,,20,,,,,,,,,,,,,-,,2008,,,,,,,,,,,,,,,,,"04o   51’  30""",122o  23’  10” 
83,P. 44KDI,Poleang - Roraya,DAS Aosole,1,9,740500087,Konawe Selatan,Palangga,Waworaha,8,8,,,13.5,,,,,,,,,,,,,-,,1996/1997,,,,,,,,,,,,,,,,,,
84,P. 19BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600026,Bombana,Rumbia,Lantari,13,13,D.I. Lantari,,13.1,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,"4°37'24.85""","121°59'22.94"""
85,P. 45 KDI,Poleang - Roraya,DAS Parasi,1,9,740500085,Konawe Selatan,Palangga,Onembute,9,9,D.I. Onembute,,3.1,,,,,,,,,,,,,250,,1996/1997,,,,,,,,,,,,,,,,,,
86,P. 05 KDI,Lasolo - Konaweha,DAS Konaweha,1,9,740500037,Konawe Selatan,Landono,Mowila,23,23,D.I. Mowila,,12,,,,,,,,,,,,,-,,1993/1994,,,,,,,,,,,,,,,,,,
87,P. 21BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600027,Bombana,Rumbia,Lantari,18,19,D.I. Lantari,,6,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,"4°27'27.86""","122°9'38.67"""
88,P. 05 KLK,Lasolo - Konaweha,DAS Konaweha,1,9,741000002,Kolaka Timur,Ladongi,Putemata,9,9,D.I. Putemata,,8.4,,,,,,,,,,,,,250,,1997/1998,,,,,,,,,,,,,,,,,,
89,P. 22BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600028,Bombana,Rumbia,Lantari,17,18,D.I. Lantari,,13.2,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,"4°36'47.42""","122°0'1.96"""
90,P. 05 MNA,Muna,DAS Katangana,1,9,740500004,Muna Barat,Toworo Selatan,Parura Jaya,22,22,D.I. Maginti,,20,,,,,,,,,,,,,-,,2008,,,,,,,,,,,,,,,,,"04°  51'  07,7""","122°  23'  21,3"""
91,P. 46KDI,Poleang - Roraya,DAS Parasi,1,9,740500086,Konawe Selatan,Palangga,Onembute,11,11,D.I. Onembute,,3.5,,,,,,,,,,,,,150,,1996/1997,,,,,,,,,,,,,,,,,,
92,P. 23BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600029,Bombana,Rumbia,Lantari,-,-,D.I. Lantari,,12.5,,,,,,,,,,,,,240,,1995/1996,,,,,,,,,,,,,,,,,,
93,P. 47 KDI,Poleang - Roraya,DAS Korumba,1,9,740300002,Kendari,Mandonga,P2ID Wua-wua,-,-,,,12.5,,,,,,,,,,,,,1250,,1997/1998,,,,,,,,,,,,,,,,,,
94,P. 06KDI,Poleang - Roraya,DAS Kambu,1,9,740500026,Konawe Selatan,Konda,Alebo,-,-,D.I. Lambusa,,5.2,,,,,,,,,,,,,250,,1993/1994,,,,,,,,,,,,,,,,,,
95,P. 26BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600030,Bombana,Rumbia,Lantari,16,16,D.I. Lantari,,15,,,,,,,,,,,,,-,,1996/1997,,,,,,,,,,,,,,,,,"4°37'20.45""","121°59'49.13"""
